,Game,Game,Rece,Rece,Rece
Player,G,GS,Rec,Yds,TD
,,,,,
Joshua Perkins,22,2,17,196,2
Eric Tomlinson,44,32,17,194,1
Malik Turner,21,3,17,265,1
Trevor Davis,43,4,16,205,1
Tyler Ervin,35,0,16,102,0
Robert Kelley,24,16,16,100,1
David Morgan,38,12,16,135,1
Justin Watson,28,2,16,164,2
Mo Alie-Cox,25,3,15,226,2
Richie James,29,3,15,295,2
Tony Pollard,15,0,15,107,1
Devin Smith,18,5,15,248,2
Danny Vitale,44,13,15,145,0
Jeff Wilson,16,2,15,132,1
Ryquell Armstead,16,1,14,144,2
Johnny Holton,48,4,14,273,3
Jordan Leggett,15,4,14,114,1
Elijhaa Penny,46,4,14,97,0
Keith Smith,79,12,14,82,0
