,,Game,Game,Def,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb,,Tack,Tack,Tack,Tack,
Player,Pos,G,GS,Int,IntYds,IntTD,IntLong,PD,FF,Fmb,FR,FmbYds,FumbTD,Sacks,Comb,Solo,Ast,TFL,Sfty
,,,,,,,,,,,,,,,,,,,
Danny Trevathan,LB,9,9,0,0,0,0,1,1,0,0,0,0,1,70,50,20,2,0
Jordan Whitehead,db,14,14,1,11,0,11,9,0,0,1,0,0,0,69,50,19,4,0
Bud Dupree,LB,16,16,0,0,0,0,3,4,0,2,0,0,11.5,68,49,19,16,0
Chidobe Awuzie,CB,16,16,1,0,0,0,14,0,0,1,0,0,0,79,48,31,1,0
Deandre Baker,CB,16,15,0,0,0,0,8,0,0,0,0,0,0,61,48,13,2,0
Ross Cockrell,CB,14,11,2,70,0,37,8,0,0,0,0,0,0,62,48,14,3,0
Kareem Jackson,DB,13,13,2,28,0,24,10,1,0,0,70,1,0,71,48,23,4,0
Alec Ogletree,LB,13,13,1,0,0,0,6,0,0,0,0,0,1,80,48,32,4,0
Bobby Okereke,LB,16,8,0,0,0,0,2,2,1,1,0,0,1,65,48,17,2,0
Patrick Onwuasor,lb,14,6,0,0,0,0,1,1,0,0,0,0,3,64,48,16,5,0
Brian Poole,CB,14,10,1,15,1,15,5,1,0,0,0,0,0,59,48,11,4,1
Richard Sherman,CB,15,15,3,65,1,31,11,0,0,0,0,0,0,61,48,13,2,0
Tre'Davious White,CB,15,15,6,57,0,49,17,2,0,0,0,0,1,58,48,10,4,0
Joey Bosa,DE,16,16,0,0,0,0,0,1,0,0,0,0,11.5,67,47,20,18,0
Justin Coleman,CB,16,11,1,55,0,55,13,3,0,1,0,0,0,54,47,7,0,0
Dont'a Hightower,LB,15,15,0,0,0,0,4,0,0,1,26,1,5.5,71,47,24,8,0
Mychal Kendricks,LB,14,14,1,1,0,1,4,1,0,0,0,0,3,71,47,24,8,0
A.J. Klein,LB,15,15,1,14,1,14,2,1,0,1,0,0,2.5,69,47,22,5,0
Jonathan Allen,DL,15,15,0,0,0,0,1,0,0,1,0,0,6,68,46,22,7,0
Sam Hubbard,DE,15,15,0,0,0,0,3,1,0,0,0,0,8.5,76,46,30,10,0
Damontae Kazee,S,16,14,3,53,0,22,3,1,0,0,0,0,0,74,46,28,2,0
Marshon Lattimore,CB,14,14,1,0,0,0,14,0,0,0,0,0,0,57,46,11,1,0
Devin McCourty,DB,16,16,5,49,0,24,7,2,0,1,0,0,0,58,46,12,0,0
Rodney McLeod,S,16,16,2,30,0,23,6,2,0,0,0,0,1,76,46,30,0,0
Patrick Peterson,CB,10,10,2,0,0,0,7,1,0,0,0,0,1,53,46,7,3,0
Shaquil Barrett,LB,16,16,1,4,0,4,2,6,0,0,0,0,19.5,58,45,13,19,0
Tramaine Brock,NA,14,11,0,0,0,0,5,0,0,0,0,0,0,50,45,5,4,0
Chuck Clark,S,16,12,1,12,0,12,9,2,0,0,0,0,1,73,45,28,2,0
Shaquill Griffin,CB,14,14,0,0,0,0,13,0,0,0,0,0,0,65,45,20,2,0
Devon Kennard,LB,16,15,0,0,0,0,0,1,0,2,13,1,7,58,45,13,9,0
Montae Nicholson,S,13,13,2,23,0,23,4,0,0,2,0,0,0,61,45,16,0,0
Damarious Randall,S,11,11,0,0,0,0,6,0,0,0,0,0,2.5,61,45,16,3,0
Jalen Thompson,S,15,9,1,18,0,18,3,0,0,1,24,0,0,57,45,12,0,0
Prince Amukamara,DB,15,15,0,0,0,0,10,1,0,1,0,0,0,53,44,9,1,0
Minkah Fitzpatrick,NA,16,16,5,130,1,96,9,2,0,3,79,1,0,69,44,25,1,0
Stephon Gilmore,CB,16,16,6,126,2,64,20,0,0,1,0,0,0,53,44,9,0,0
Chris Harris,CB,16,16,1,11,0,11,6,1,0,0,0,0,0,56,44,12,1,0
Ronnie Harrison,S,14,14,2,66,0,35,9,0,0,1,0,0,2,71,44,27,2,0
Neville Hewitt,LB,12,12,2,13,0,9,5,0,0,0,0,0,3,75,44,31,6,0
Jalen Ramsey,NA,12,11,1,13,0,13,5,2,0,0,0,0,0,50,44,6,0,0
Daniel Sorensen,s,16,3,2,6,0,6,4,0,0,0,0,0,0,57,44,13,1,0
Johnathan Joseph,CB,14,11,1,0,0,0,13,0,0,0,0,0,0,51,43,8,0,0
Matt Judon,LB,16,16,0,0,0,0,0,4,0,0,0,0,9.5,54,43,11,14,0
Harold Landry,LB,16,16,1,0,0,0,1,1,0,2,0,0,9,68,43,25,12,0
Haason Reddick,lb,16,5,0,0,0,0,6,0,0,1,3,0,1,76,43,33,6,0
Sheldon Richardson,DT,16,15,0,0,0,0,4,3,0,0,0,0,3,62,43,19,4,0
Leighton Vander Esch,LB,9,9,0,0,0,0,3,1,0,0,0,0,0.5,72,43,29,1,0
Tre Herndon,CB,16,14,3,0,0,0,13,0,0,0,0,0,0,55,42,13,1,0
Matthew Ioannidis,DL,16,15,0,0,0,0,1,0,0,0,0,0,8.5,64,42,22,11,0
Myles Jack,LB,11,11,1,14,0,14,4,0,0,0,0,0,0.5,66,42,24,3,0
Chandler Jones,LB,16,16,0,0,0,0,5,8,0,3,0,0,19,53,42,11,11,0
Emmanuel Moseley,CB,16,9,1,3,0,3,8,0,0,0,0,0,0,50,42,8,2,0
Trayvon Mullen,CB,16,10,1,0,0,0,10,0,0,0,0,0,0,50,42,8,0,0
Darnell Savage,S,14,14,2,37,0,28,5,2,0,0,0,0,0,55,42,13,1,0
Juan Thornhill,S,16,16,3,46,1,46,5,0,0,0,0,0,0,58,42,16,0,0
Andrew Adams,S,14,11,1,21,0,21,3,1,0,0,0,0,0,46,41,5,3,0
Brandon Carr,CB,16,16,0,0,0,0,6,0,0,0,0,0,2,49,41,8,4,0
Jeff Heath,db,13,13,0,0,0,0,7,0,0,0,0,0,0,63,41,22,3,0
Lamarcus Joyner,S,14,10,0,0,0,0,3,0,0,0,0,0,0,49,41,8,3,0
Nik Needham,CB,12,11,2,23,0,23,11,1,0,0,0,0,1,54,41,13,1,0
Za'Darius Smith,LB,16,16,0,0,0,0,0,1,0,0,0,0,13.5,55,41,14,17,0
Kyle Van Noy,LB,15,15,0,0,0,0,3,3,0,2,22,1,6.5,56,41,15,7,0
Joe Walker,LB,16,11,0,0,0,0,0,1,0,0,0,0,0,65,41,24,5,0
T.J. Carrie,cb,16,6,1,0,0,0,4,1,0,1,4,0,1,52,40,12,4,0
Dante Fowler,LB,16,14,0,0,0,0,6,2,0,1,26,1,11.5,58,40,18,16,0
Clayton Geathers,S,15,10,1,0,0,0,1,0,0,0,0,0,0,54,40,14,1,0
Desmond King,DB,15,8,0,0,0,0,2,1,4,2,13,0,2.5,51,40,11,4,0
Khalil Mack,LB,16,16,0,0,0,0,4,5,0,1,0,0,8.5,47,40,7,8,0
Marcus Peters,NA,16,15,5,210,3,89,14,0,0,1,0,0,0,53,40,13,1,0
Marcus Williams,S,15,15,4,56,1,55,13,1,0,0,0,0,0,55,40,15,0,0
Carlos Dunlap,DE,14,14,0,0,0,0,8,2,0,0,0,0,9,63,39,24,13,0
Mike Hughes,cb,14,3,1,0,0,0,9,2,3,2,0,0,0,45,39,6,1,0
Melvin Ingram,DE,13,13,1,9,0,9,5,0,0,1,2,0,7,48,39,9,11,0
Adoree' Jackson,CB,11,10,0,0,0,0,6,0,1,0,0,0,0,45,39,6,3,0
Taron Johnson,cb,12,7,0,0,0,0,5,1,0,0,0,0,1,50,39,11,2,0
Buster Skrine,db,16,4,0,0,0,0,5,2,0,0,0,0,0,48,39,9,1,0
Jomal Wiltz,cb,14,6,1,0,0,0,6,0,0,0,0,0,0,58,39,19,2,0
Patrick Chung,S,13,12,0,0,0,0,3,0,0,0,0,0,0,51,38,13,1,0
Jarrad Davis,LB,11,11,0,0,0,0,1,3,0,1,0,0,2,63,38,25,4,0
Pierre Desir,CB,12,11,3,0,0,0,11,0,0,0,0,0,0,50,38,12,1,0
Chauncey Gardner-Johnson,db,16,7,1,28,0,28,8,1,0,1,37,0,0,49,38,11,6,0
Grady Jarrett,DT,16,16,0,0,0,0,0,2,0,0,0,0,7.5,69,38,31,12,0
Jonathan Jones,DB,15,9,0,0,0,0,8,2,0,0,0,0,0,53,38,15,0,0
Karl Joseph,S,9,9,1,0,0,0,3,0,0,1,0,0,0,49,38,11,4,0
Jourdan Lewis,cb,16,5,2,20,0,20,6,0,0,1,63,1,4,51,38,13,4,0
Avonte Maddox,cb,12,6,0,8,0,8,10,1,0,0,0,0,1,47,38,9,2,0
Denzel Ward,CB,12,12,2,61,1,61,11,0,0,1,6,0,0,44,38,6,1,0
