,Game,Game,Tack,Tack,Tack,Tack,Tack,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb
Player,G,GS,Sacks,Solo,Ast,Comb,TFL,Int,IntYds,IntTd,PD,Fmb,FR,FumbYds,FumbTD,FF
,,,,,,,,,,,,,,,,
Al Woods,125,48,5.5,109,95,204,19,0,0,0,3,0,2,5,0,0
Genard Avery,26,5,5,33,13,46,5,0,0,0,4,0,1,5,0,1
Landon Collins,74,74,5,407,147,554,31,8,93,1,36,0,3,39,0,5
Aaron Colvin,65,30,5,174,37,211,12,0,0,0,16,0,4,41,1,1
L.J. Fort,77,11,5,85,35,120,10,1,10,0,8,0,1,0,1,0
Adam Gotsis,57,28,5,69,40,109,9,0,0,0,13,0,3,0,0,2
Rasheem Green,26,8,5,22,14,36,4,0,0,0,2,0,1,36,0,3
Lamarcus Joyner,81,52,5,277,77,354,15,4,109,1,28,0,2,0,0,2
Anthony Lanier,15,2,5,11,3,14,5,0,0,0,6,0,2,0,0,1
Kareem Martin,77,21,5,66,39,105,10,1,7,0,6,0,0,0,0,4
T.J. McDonald,75,75,5,312,103,415,26,8,66,0,25,0,3,3,0,1
T.Y. McGill,37,0,5,15,10,25,7,0,0,0,2,0,0,0,0,1
Ed Oliver,16,7,5,24,19,43,5,0,0,0,2,0,0,0,0,1
Brian Poole,61,31,5,193,62,255,15,5,41,1,24,0,4,10,0,1
Nickell Robey-Coleman,111,23,5,235,55,290,22,6,119,2,48,0,5,50,1,5
A'Shawn Robinson,58,37,5,120,52,172,16,1,2,1,16,0,3,3,0,3
Darian Stewart,143,92,5,367,96,463,21,11,99,1,46,0,7,47,0,6
Desmond Trufant,97,97,5,272,57,329,9,13,97,0,79,1,7,69,2,3
Jihad Ward,41,14,5,24,19,43,5,0,0,0,1,0,3,2,0,0
Eric Wilson,48,10,5,72,40,112,10,0,0,0,0,0,1,0,0,1
Tavon Wilson,110,43,5,275,82,357,16,8,207,1,19,0,6,12,0,1
Jahleel Addae,96,62,4.5,320,97,417,18,4,114,1,24,1,4,0,0,3
Mackensie Alexander,55,10,4.5,82,21,103,9,2,10,0,21,0,1,0,0,0
Jerome Baker,32,26,4.5,133,72,205,7,2,59,1,7,1,0,0,0,2
Jatavis Brown,56,23,4.5,187,78,265,14,0,0,0,12,0,3,0,0,3
James Burgess,27,21,4.5,106,57,163,21,1,2,0,8,1,1,-4,0,2
Josh Bynes,101,47,4.5,247,131,378,26,4,49,0,26,0,2,23,1,3
Patrick Chung,153,122,4.5,521,257,778,21,11,171,1,57,0,5,0,0,2
Tyeler Davison,77,60,4.5,75,75,150,13,0,0,0,4,0,1,0,0,3
Clelin Ferrell,15,15,4.5,24,14,38,8,0,0,0,5,0,1,0,0,0
Reggie Gilbert,29,5,4.5,42,20,62,6,0,0,0,3,0,1,0,0,0
Chris Harris,139,121,4.5,443,75,518,23,20,457,4,86,0,4,6,0,6
D.J. Hayden,86,40,4.5,267,43,310,14,4,10,0,45,0,3,27,1,4
Stacy McGee,79,29,4.5,75,43,118,6,0,0,0,1,0,2,3,0,2
Robert Nkemdiche,29,6,4.5,26,18,44,10,0,0,0,2,0,1,21,1,2
Danny Shelton,75,59,4.5,111,99,210,14,0,0,0,1,0,0,0,0,1
D.J. Swearinger,99,73,4.5,314,97,411,13,14,109,0,42,1,4,12,0,9
Dalvin Tomlinson,48,48,4.5,81,77,158,13,0,0,0,1,0,0,0,0,1
Tramon Williams,199,153,4.5,583,122,705,14,34,433,1,152,6,13,23,0,6
Kerry Wynn,65,15,4.5,90,53,143,11,1,7,0,5,0,3,0,0,2
Alex Anzalone,22,11,4,63,19,82,5,1,2,0,3,0,0,0,0,3
Tarell Basham,42,3,4,29,19,48,4,1,1,0,6,0,1,2,0,1
Bryce Callahan,45,29,4,110,13,123,11,4,85,0,20,0,0,0,0,1
Jayrone Elliott,44,0,4,53,9,62,7,1,2,0,2,1,1,0,0,1
Marcus Gilchrist,126,98,4,379,120,499,17,14,144,0,39,0,2,40,0,5
Ra'Shede Hageman,44,16,4,41,21,62,9,0,0,0,1,0,0,0,0,0
Micah Hyde,110,80,4,340,99,439,12,16,136,0,44,5,8,40,0,4
Jaleel Johnson,37,4,4,21,22,43,6,0,0,0,0,0,0,0,0,1
Darron Lee,56,38,4,177,95,272,17,3,82,1,11,0,0,0,0,2
Sean Lee,109,90,4,510,272,782,60,14,339,2,30,0,4,10,0,2
Jourdan Lewis,46,13,4,96,21,117,6,4,52,0,17,0,3,77,1,0
Frankie Luvu,27,1,4,27,7,34,6,0,0,0,1,0,0,0,0,0
Bobby McCain,71,40,4,161,47,208,9,6,59,0,25,1,0,0,0,1
Lerentee McCray,72,0,4,38,26,64,3,0,0,0,2,0,0,0,0,2
Kenny Moore,42,31,4,145,31,176,10,6,113,0,19,0,1,1,0,2
Denzel Perryman,56,45,4,225,76,301,23,3,17,0,5,0,1,0,0,2
Patrick Peterson,138,138,4,395,43,438,10,25,244,1,83,19,12,155,0,2
Elandon Roberts,60,33,4,119,87,206,15,0,0,0,6,0,1,0,0,1
Bradley Roby,89,39,4,246,28,274,10,9,170,3,68,0,4,24,1,8
Shamar Stephen,82,49,4,67,72,139,5,0,0,0,3,0,3,0,0,1
Josh Sweat,25,0,4,17,5,22,7,0,0,0,1,0,0,0,0,0
Jaquiski Tartt,59,42,4,203,68,271,15,3,85,0,13,0,2,0,0,2
Chad Thomas,20,8,4,17,9,26,6,0,0,0,1,0,1,0,0,0
K'Waun Williams,69,34,4,177,50,227,11,3,80,0,19,0,3,0,0,9
Damien Wilson,80,38,4,138,64,202,12,0,0,0,3,0,0,0,0,2
Paul Worrilow,76,52,4,264,151,415,15,2,22,0,11,0,4,0,0,3
